data,step,loss,micro_p,micro_r,micro_f,macro_p,macro_r,macro_f
test,50,0.2325133333278897,0.0,0.0,0.0,0.0,0.0,0.0
test,100,0.18076980993565586,0.0,0.0,0.0,0.0,0.0,0.0
test,150,0.1355745692702907,0.3007299270072993,0.12196566015393724,0.17354675652906487,0.26162432363006605,0.12837615232761362,0.154660940468944
test,200,0.10913108385519037,0.3286670724284845,0.3197158081705151,0.32412965186074433,0.34942734532464803,0.326109343306756,0.3350429006316061
test,250,0.0978077303076443,0.34108527131782945,0.3907637655417407,0.3642384105960265,0.3606330915409365,0.40137239769603406,0.37827470514994027
test,300,0.09050853254982678,0.43991989319092123,0.3901716992303138,0.41355506746156256,0.44929167908427886,0.4023520869245745,0.4225762127999719
test,350,0.09570525215876802,0.3324324324324324,0.5097690941385435,0.40243047440990887,0.3401450035443509,0.5127434825629533,0.4076993064342047
test,400,0.09130684929835957,0.3889591234723978,0.5464772054470101,0.4544559330379123,0.3936761631219099,0.5476897099638023,0.4574422619190308
test,450,0.08283760653116816,0.4267161410018553,0.5447010065127295,0.47854356306892065,0.43161840969621756,0.5498639636458512,0.482569284092465
test,500,0.08081652713084314,0.43272239606616003,0.5731201894612197,0.49312277126846654,0.438418695435404,0.5723155315387871,0.4956148036414992
test,550,0.07909705496201909,0.45092718227046585,0.5902901124925992,0.5112820512820513,0.4531974371280082,0.5912880591451796,0.5119372112923777
test,600,0.07559970452834208,0.45264116575591984,0.5885139135583185,0.5117117117117117,0.4538363672521055,0.5891487326471901,0.5125646166402534
test,650,0.08033065334652817,0.44710920770877943,0.6181172291296625,0.5188866799204771,0.45016388688540554,0.6183521299206701,0.5195253397536987
test,700,0.0736743834194086,0.4862981885740827,0.6198934280639432,0.5450286309213952,0.4900894890606399,0.6195856898715447,0.5465353959383225
test,750,0.07344641804724043,0.49857278782112274,0.62048549437537,0.5528884199419678,0.49708094195550656,0.619883079434742,0.5508646412015801
test,800,0.07378880963036852,0.4800358905338717,0.6335109532267614,0.5461970393057682,0.4806056223917768,0.6312655879271432,0.5445824001664485
test,850,0.07165175545727327,0.5102821616451458,0.6317347542924807,0.5645502645502646,0.508416121697417,0.6287808362849903,0.5613429492655115
test,900,0.0727689819126887,0.5114176974310181,0.6364712847838958,0.5671326826694802,0.5072835325388245,0.637481190266352,0.5642049593510443
test,950,0.07561911783429179,0.47477360931435963,0.6518650088809946,0.5494011976047903,0.4717987821423167,0.6509134646457947,0.5464079431237221
test,1000,0.07061532127565942,0.5283479960899315,0.6400236826524571,0.5788487282463187,0.5291436276379141,0.6372841539434234,0.5773897640244787
test,1050,0.07040578307084788,0.527467185221196,0.6423919478981646,0.5792845702082221,0.524972596266672,0.6402439042526209,0.5763160760684162
test,1100,0.07319780993252518,0.48945715567519066,0.6459443457667259,0.5569167942827974,0.49031098387666755,0.644454655657542,0.5564453233835588
test,1150,0.07372837307751848,0.5092250922509225,0.6536412078152753,0.5724656468758101,0.5077176773063169,0.6531458495173711,0.5711709434486074
test,1200,0.07345269154224641,0.5023062730627307,0.6447602131438721,0.5646875810215194,0.5035364409554275,0.6441467532702193,0.5648110205283021
test,1250,0.07235831083957621,0.5106186518928901,0.6548253404381291,0.5738002594033722,0.5127784356917815,0.6550723063541319,0.574818745658514
test,1300,0.07220257920010649,0.5175808720112518,0.6536412078152753,0.5777080062794349,0.5165750703849157,0.6523441769257554,0.5763379995897508
test,1350,0.07221405215085583,0.5213472485768501,0.6506808762581409,0.5788780616276008,0.5194129382338148,0.649087015172808,0.5768984995694509
test,1400,0.07288274727749064,0.516728624535316,0.6583777383066903,0.5790158812809164,0.5170650467937359,0.6583468767829068,0.5787289043287507
test,1450,0.0734495610513061,0.5160092807424594,0.6583777383066903,0.5785639958376692,0.5152228412019294,0.6575507614843037,0.5773426454365709
test,1500,0.07500818016008558,0.4991055456171735,0.6607460035523979,0.5686624203821656,0.5016487625650625,0.6596048604710953,0.5695970735735583
test,1550,0.07584958381125043,0.5011225864391559,0.6607460035523979,0.5699693564862105,0.5051142636957657,0.6616381596481979,0.5722644776947814
test,1600,0.07407905688565904,0.510335323840147,0.6577856719952635,0.5747542679772374,0.510770093082972,0.6590840677530807,0.5749589488420022
test,1650,0.07409383492376391,0.5143120960295475,0.6595618709295441,0.5779507133592736,0.5168602495982483,0.66007919372712,0.5793987990060627
,0.03257899673759109,0.7223910840932117,0.854916067146283,0.7830862163646348,0.7268744113157466,0.8563795872151039,0.7858035254092015
