data,step,loss,micro_p,micro_r,micro_f,macro_p,macro_r,macro_f
test,50,0.23212675679645506,0.0,0.0,0.0,0.0,0.0,0.0
test,100,0.19890411310952993,0.0,0.0,0.0,0.0,0.0,0.0
test,150,0.15902021765295002,0.3968253968253968,0.02960331557134399,0.05509641873278237,0.07936507936507936,0.0398406374501992,0.05305039787798408
test,200,0.13308006597780228,0.31213872832369943,0.19182948490230906,0.23762376237623764,0.31386627226187624,0.20053419524770674,0.22789643294411008
test,250,0.11021267670289915,0.3745928338762215,0.3404381290704559,0.3566997518610422,0.37783089198107767,0.3495740163535258,0.36132435996799933
test,300,0.09555555393966016,0.4947994056463596,0.39431616341030196,0.43887973640856676,0.5009550560130468,0.4052334431362451,0.4439440606272732
test,350,0.09632895091596244,0.412848158131177,0.5441089402013025,0.4694763729246487,0.42750526641126224,0.540673397746163,0.4756832619422452
test,400,0.08685024885368414,0.48049921996879874,0.5470692717584369,0.5116279069767442,0.488995354245877,0.5482438833641027,0.5148709502158495
test,450,0.08184042714043137,0.49319899244332494,0.5796329188869154,0.5329341317365269,0.5039422404818412,0.5778292358563916,0.5373141231097484
test,500,0.07715288288399277,0.5361216730038023,0.5843694493783304,0.5592067988668555,0.5374643031180327,0.5864655806095989,0.5600706140838376
test,550,0.07584870198649235,0.519298245614035,0.6133806986382475,0.5624321389793703,0.5206947819836907,0.6108234311645961,0.5617034697964686
test,600,0.07636432491510717,0.5025882352941177,0.6323268206039077,0.5600419507079183,0.5004806729268025,0.62836670504095,0.5568363414613823
test,650,0.07805647559284916,0.4861607142857143,0.6447602131438721,0.5543395265970985,0.4921732635906997,0.6407542279076154,0.5559312006313767
test,700,0.07529220146328426,0.5032588454376163,0.6400236826524571,0.5634610372686994,0.5061704938450634,0.6351619923872223,0.5630311557339075
test,750,0.07375073939227562,0.5119846596356663,0.6323268206039077,0.5658278145695363,0.5136814603087568,0.6316744983772855,0.5656513629464248
test,800,0.07201002557226305,0.5327424913835549,0.640615748963884,0.5817204301075269,0.5346929568927495,0.6380086788631346,0.5809216140610519
test,850,0.07025650804400776,0.5501801338136901,0.6329188869153345,0.5886563876651982,0.5491700825636319,0.6319401345231206,0.5871755310976244
test,900,0.07375708698094183,0.5188005711565921,0.6453522794552989,0.575197889182058,0.5149631681212093,0.6462777577577726,0.5722475748926799
test,950,0.07551685927439813,0.5017761989342806,0.6690349319123742,0.5734585130677492,0.5013207311552541,0.6672314611574871,0.5723257081833651
test,1000,0.0710178217439748,0.5385365853658537,0.6536412078152753,0.5905322278684141,0.5410790904445875,0.6512233628365366,0.5903684459279807
test,1050,0.07026210811416758,0.5624675997926387,0.6423919478981646,0.599778883360973,0.5615329540379635,0.6424100727497721,0.5984564862768961
test,1100,0.07203694557581374,0.5315358690418873,0.6536412078152753,0.5862984599044078,0.5339822223168715,0.6497782433770102,0.5857372800379782
test,1150,0.07302594320363646,0.5404738400789734,0.6483126110124334,0.5895020188425303,0.5409778435394198,0.6465918163481879,0.5889316366878994
test,1200,0.07207160990232245,0.5489703666499247,0.6471284783895797,0.5940217391304349,0.549582475305647,0.6454738971264532,0.5932577341609987
test,1250,0.07318509200855193,0.5370101596516691,0.6571936056838366,0.5910543130990416,0.5392541111170386,0.6583828890624297,0.5920210563084518
test,1300,0.07255436454416193,0.5498489425981873,0.6465364120781527,0.5942857142857142,0.5513638809084345,0.6452762282133337,0.5941526268364943
test,1350,0.072187498305069,0.5637966804979253,0.6435760805210183,0.6010505944152612,0.5624527275862411,0.643773524976605,0.6000357915011701
test,1400,0.07418504869869721,0.5374939525882922,0.6577856719952635,0.5915867944621939,0.5404506174789847,0.6574432224750095,0.5924524930101347
test,1450,0.07341925437602241,0.5414418832761158,0.6536412078152753,0.592274678111588,0.5433040279656588,0.6524717979766818,0.5923699221082501
test,1500,0.07437724337219677,0.5308464849354376,0.6571936056838366,0.5873015873015872,0.5330963544559076,0.655402338943543,0.5874531022416273
test,1550,0.07540319421407736,0.5271867612293144,0.6601539372409709,0.5862250262881177,0.5323524614510312,0.6586303542218265,0.5877798718753912
test,1600,0.07523271095688396,0.5338779432964921,0.6577856719952635,0.5893899204244033,0.5351822815371731,0.6574237105077033,0.5892460070326185
test,1650,0.07393249797842502,0.5363591996095657,0.6506808762581409,0.5880149812734082,0.5389701275603047,0.6500702463547341,0.5889125062681758
,0.031544367503892216,0.7106854838709677,0.8453237410071942,0.7721796276013143,0.7170677334997508,0.8458892290425641,0.7748487025782814
