data,step,loss,micro_p,micro_r,micro_f,macro_p,macro_r,macro_f
test,50,0.20596829144393697,0.0,0.0,0.0,0.0,0.0,0.0
test,100,0.1400624503917213,0.3181818181818182,0.045589105979869746,0.0797514241325738,0.2116378333459243,0.051449897681263124,0.07674876671843964
test,150,0.1067245659887109,0.4113785557986871,0.3339253996447602,0.3686274509803921,0.4236121100188434,0.3331583663093382,0.3672978525907009
test,200,0.0879344397066222,0.45515558267236117,0.4416814683244523,0.44831730769230765,0.4567027103809712,0.4390715164024182,0.4471208110136583
test,250,0.07935409662785507,0.4956921309592188,0.5109532267613973,0.5032069970845482,0.49095000671719075,0.5090180402540897,0.4993416638793039
test,300,0.07514166460341565,0.567741935483871,0.4689165186500888,0.5136186770428015,0.5666551435245963,0.4712300875031133,0.5118528629334371
test,350,0.07248855181888542,0.5196891191709845,0.5938425103611604,0.5542967670627245,0.5146928315518704,0.5881840499379366,0.547868607907871
test,400,0.074457890448827,0.4997606510292006,0.6181172291296625,0.5526733721545791,0.5012389527090877,0.6145613816713635,0.5511117654713594
test,450,0.06845591105277242,0.5222551928783383,0.6252220248667851,0.5691188358932903,0.5193403036339886,0.6220771487623828,0.5652654183606157
test,500,0.06754342928779371,0.5386965376782077,0.6264061574896388,0.5792499315630988,0.5384992914947262,0.6199368790874157,0.575225042717172
test,550,0.06960705349202549,0.5207939508506616,0.6524570751924216,0.5792378449408672,0.5233288151671422,0.6495285374690654,0.5778615331541963
test,600,0.06604317747196486,0.5630559916274201,0.6370633510953226,0.5977777777777777,0.5600673005950736,0.6331336479597846,0.593449372402274
test,650,0.07080961539791004,0.5211845102505694,0.6773238602723505,0.5890834191555098,0.5239009136934418,0.6738068634292372,0.5883307101022457
test,700,0.06583575838800136,0.5861881457313758,0.6382474837181764,0.6111111111111112,0.5841181499756576,0.637735573939452,0.6085873390011936
test,750,0.06763154698861966,0.5490584737363726,0.6560094730609828,0.59778796870785,0.5511404478826986,0.6547517590154511,0.5973666252172724
test,800,0.06692397182705621,0.5674442190669371,0.6625222024866785,0.6113083856869708,0.568867932032255,0.6611531667335989,0.6102652774676136
test,850,0.0684945818206345,0.5561047948591201,0.6660746003552398,0.6061422413793103,0.5591740883919256,0.6657106728936344,0.6067209649693522
test,900,0.06948728342207042,0.5447035957240038,0.6637063351095323,0.5983453429410194,0.5432931127036844,0.6635747574175219,0.5970426482439278
test,950,0.070151141938025,0.53704577630958,0.6737714624037893,0.5976890756302522,0.5351720007452989,0.6734144739607748,0.5960669229845353
test,1000,0.07031208653342078,0.5573122529644269,0.6678507992895204,0.6075949367088608,0.5566096245349896,0.6656267433836478,0.6056277057798309
test,1050,0.07040394778558193,0.5686175580221998,0.6672587329780936,0.6140016344320349,0.5718661867675563,0.6665706461712275,0.6149890201934387
test,1100,0.07101731187251066,0.545410860163383,0.6719952634695086,0.6021220159151194,0.5466353191073751,0.668939396562595,0.601164282426413
test,1150,0.07255556743071072,0.5507246376811594,0.6749555950266429,0.6065442936951316,0.5547957316507917,0.67170012525608,0.6071038326862505
test,1200,0.07258553812703222,0.5594059405940595,0.6690349319123742,0.6093286600161768,0.5617759905097902,0.6675781413232045,0.6096160080172593
test,1250,0.07133542809994665,0.5657492354740061,0.6571936056838366,0.6080525883319639,0.5662054846216796,0.6583384359923276,0.6082311166481787
test,1300,0.07245377015730407,0.5661985957873621,0.6684428656009473,0.6130871572087973,0.5678629871741594,0.6671488945089213,0.6130391704074719
test,1350,0.0728161536905461,0.581187598528639,0.6548253404381291,0.6158129175946548,0.5817608279285416,0.6565146161240403,0.6162057070436707
test,1400,0.07295705360320624,0.562531391260673,0.6631142687981054,0.6086956521739131,0.5643980510800354,0.6630622676033764,0.6089038450778739
test,1450,0.0731899076733195,0.5645812310797175,0.6625222024866785,0.6096431490057206,0.5654730716405296,0.662323756751439,0.6095264376710128
test,1500,0.07431286291553069,0.5611083621969322,0.6714031971580817,0.6113207547169811,0.5621443298552746,0.6710732736074388,0.6114478050331291
test,1550,0.0748234434516617,0.5596465390279823,0.6749555950266429,0.6119162640901771,0.563955577173421,0.674210504511153,0.6134532457610197
test,1600,0.07517513757087022,0.5517241379310345,0.6725873297809355,0.6061899679829242,0.5546256677285004,0.6727431583017551,0.6073989248258813
test,1650,0.07501441426974648,0.5568627450980392,0.6725873297809355,0.609278626977742,0.5592458598433396,0.6728956985749246,0.6103387130578103
,0.01815519358215776,0.8006396588486141,0.9004796163069544,0.8476297968397292,0.803366787610895,0.9015183691393315,0.848979860513416
