data,step,loss,micro_p,micro_r,micro_f,macro_p,macro_r,macro_f
test,50,0.23460694083899325,0.0,0.0,0.0,0.0,0.0,0.0
test,100,0.20120307791182743,0.0,0.0,0.0,0.0,0.0,0.0
test,150,0.15653549006801254,0.4742268041237113,0.027235050325636473,0.05151175811870101,0.09484536082474226,0.03665338645418327,0.052873563218390804
test,200,0.13240152094685645,0.33076923076923076,0.17821195973949083,0.23162754905732974,0.3421304460949159,0.18090236255329145,0.22523147118059442
test,250,0.11578530311525631,0.33155397390272834,0.3309650680876258,0.33125925925925925,0.3558013185189222,0.3332606768596917,0.33692899751543065
test,300,0.09989238607576462,0.431438127090301,0.30550621669627,0.3577123050259965,0.4462461776004886,0.3119954241312212,0.35993610806698667
test,350,0.09801790882196187,0.3675057208237986,0.47542924807578446,0.41455859576664944,0.40034357740232007,0.47701457053778595,0.42895759552663754
test,400,0.09551943133383267,0.42010950721752116,0.4997039668442866,0.4564629529475392,0.4338795457616585,0.4956957406894594,0.459548531200471
test,450,0.08692195838340609,0.43208159480760316,0.551805802249852,0.484659386375455,0.4561790951056287,0.5535544681043528,0.4962159189920287
test,500,0.08234688954754765,0.4704724409448819,0.5660153937240971,0.513840365493147,0.4817020124672292,0.5675999484820331,0.5185745358121282
test,550,0.08409067019656623,0.4386584289496911,0.5885139135583185,0.5026548672566371,0.45150490773212193,0.5906810535407807,0.5096160033625952
test,600,0.08113502494769916,0.4509888220120378,0.6210775606867969,0.5225404732254046,0.46677045013899027,0.6205493332856783,0.5305726309612402
test,650,0.08125952685486185,0.4550872711792252,0.6329188869153345,0.529470034670629,0.46740719097453204,0.6307335330072061,0.5353910779904539
test,700,0.07224964953646772,0.5159203980099503,0.6139727649496743,0.5606920789402542,0.5236471736629482,0.6161345637468121,0.5647363334393323
test,750,0.07680838149057931,0.4854280510018215,0.6311426879810539,0.5487773487773489,0.4963695583044099,0.6331404387456054,0.5532848602040714
test,800,0.0734788452934277,0.5080091533180778,0.6571936056838366,0.5730511099638615,0.5202891062187295,0.6550415848937478,0.57835405366676
test,850,0.07205039414885091,0.5109353187529083,0.650088809946714,0.5721730067743616,0.525669222570208,0.650005712024448,0.5790824272276023
test,900,0.07334614080961029,0.5068368277119416,0.6583777383066903,0.5727530260108163,0.5133809173972133,0.6598904091621128,0.575345923577337
test,950,0.07424548254625427,0.5019991115059973,0.6690349319123742,0.5736040609137055,0.5039932021400778,0.6717335489180231,0.5751917588052
test,1000,0.07041753816110445,0.526735459662289,0.664890467732386,0.5878042397278199,0.5384759307581051,0.6641990005605682,0.5933285653682756
test,1050,0.07006842193602962,0.5396593673965937,0.6566015393724097,0.5924145299145298,0.5490349474039445,0.6568121545142238,0.5970243606685944
test,1100,0.074220571391706,0.5053523639607493,0.6708111308466548,0.5764436530145001,0.5202692614803454,0.6682958316959893,0.5822133080601002
test,1150,0.07292867732999114,0.5201649862511457,0.6719952634695086,0.5864117799018341,0.530401626463886,0.6735858389096777,0.5919838596420108
test,1200,0.07317771132736647,0.5209932279909707,0.6832445233866193,0.591188524590164,0.5325632952280239,0.6858817311243868,0.5976595752178371
test,1250,0.07074621722852524,0.5295486272684969,0.6737714624037893,0.5930171964564878,0.5378154796233456,0.674615624460647,0.5976478847598001
test,1300,0.07111708365557923,0.5314685314685315,0.6749555950266429,0.5946791862284819,0.5395234226480772,0.6751121094475052,0.5986184624086744
test,1350,0.06912649668583089,0.554380664652568,0.6518650088809946,0.5991836734693876,0.5632859604498056,0.6536776371819856,0.6040307286441843
test,1400,0.07088329782503407,0.5298229263746506,0.6731793960923623,0.5929595827900913,0.5410963299665208,0.6756495825626552,0.5988520460670308
test,1450,0.07102251661364278,0.5296296296296297,0.6773238602723505,0.5944401143154066,0.5383247750196227,0.679542026595995,0.5992808096554707
test,1500,0.07343263333440912,0.517426273458445,0.6856127886323268,0.5897631779984721,0.5258176046135693,0.6843837498435599,0.5934225012628461
test,1550,0.07339448651224947,0.5208522212148685,0.6802841918294849,0.589987163029525,0.5317749173734386,0.6807978230259283,0.5955611361077696
test,1600,0.07270549012278055,0.5208900999091735,0.6791000592066312,0.5895656643536366,0.5285222188539873,0.6807660270585499,0.5935015630756111
test,1650,0.07150640497516109,0.5331171838814266,0.6814683244523386,0.5982328482328482,0.5416224044465163,0.6818172457908476,0.6027508247934409
,0.04371231830290829,0.6401515151515151,0.8105515587529976,0.7153439153439154,0.6502623870852493,0.8119342722950963,0.7194913885599762
